Date,Receivables (£),Payables (£),Inventory (£),Cash (£),Total Assets (£),Total Liabilities (£)
2024-04-01,2097521.24,1400284.21,269269.51,999630.78,3366421.5300000003,1672810.99
2024-05-01,1912262.42,1399639.04,315942.78,999910.12,3228115.3200000003,1807894.68
2024-06-01,1967536.71,1565843.99,352502.9,1115123.41,3435163.0199999996,1768654.27
2024-07-01,1877921.49,1262750.32,296756.76,601361.72,2776039.9699999997,1770104.2
2024-08-01,2140262.32,1361583.59,235694.65,1127386.85,3503343.82,1379138.79
2024-09-01,2038180.81,1676221.11,256375.75,791152.05,3085708.6100000003,1888503.49
2024-10-01,1882925.62,1597298.25,245534.5,1353680.47,3482140.59,1899345.85
2024-11-01,2003804.38,1705290.59,351577.19,1073723.36,3429104.9299999997,1520517.01
2024-12-01,1929850.6,1630249.15,234993.7,846855.35,3011699.6500000004,1646685.33
2025-01-01,2040235.68,1615633.42,348229.95,829436.12,3217901.75,1858298.78
2025-02-01,1910011.74,1474734.18,326008.4,1212275.07,3448295.21,1477590.45
2025-03-01,2009863.47,1668875.2,311610.97,1016522.65,3337997.09,1715548.93
