Date,Plan Income (£),Actual Income (£),Plan Expenditure (£),Actual Expenditure (£),Plan Surplus/Deficit (£),Actual Surplus/Deficit (£)
2024-04-01,10000000,9945194.75,9500000,9562358.58,500000,382836.1699999999
2024-05-01,10000000,10129672.99,9500000,9053278.49,500000,1076394.5
2024-06-01,10000000,9996294.61,9500000,9088570.93,500000,907723.6799999997
2024-07-01,10000000,9973844.51,9500000,9843280.98,500000,130563.52999999933
2024-08-01,10000000,9800306.33,9500000,9083395.2,500000,716911.1300000008
2024-09-01,10000000,10377537.16,9500000,9213235.71,500000,1164301.4499999993
2024-10-01,10000000,9700284.2,9500000,9904757.89,500000,-204473.69000000134
2024-11-01,10000000,9762706.02,9500000,9911228.55,500000,-148522.5300000012
2024-12-01,10000000,10054818.17,9500000,9820989.27,500000,233828.90000000037
2025-01-01,10000000,10037213.27,9500000,9769925.59,500000,267287.6799999997
2025-02-01,10000000,9816310.24,9500000,9346599.31,500000,469710.9299999997
2025-03-01,10000000,9576897.71,9500000,9742945.37,500000,-166047.6599999983
