Date,Service Line,Income (£),Cost (£),Contribution (£)
2024-04-01,Cardiology,387315.95,614430.15,-227114.2
2024-04-01,Orthopaedics,383431.93,367767.85,15664.080000000016
2024-04-01,Gastroenterology,641316.02,559967.36,81348.66000000003
2024-04-01,Paediatrics,538787.23,476255.93,62531.29999999999
2024-04-01,Oncology,480863.68,431188.05,49675.630000000005
2024-05-01,Cardiology,477356.55,476443.85,912.7000000000116
2024-05-01,Orthopaedics,390044.01,418482.86,-28438.849999999977
2024-05-01,Gastroenterology,331046.54,485844.56,-154798.02000000002
2024-05-01,Paediatrics,506248.1,613388.66,-107140.56000000006
2024-05-01,Oncology,530044.39,438296.84,91747.54999999999
2024-06-01,Cardiology,483971.6,516511.67,-32540.070000000007
2024-06-01,Orthopaedics,518209.01,523371.44,-5162.429999999993
2024-06-01,Gastroenterology,530163.58,461051.68,69111.89999999997
2024-06-01,Paediatrics,457136.54,435782.83,21353.709999999963
2024-06-01,Oncology,425978.3,398841.05,27137.25
2024-07-01,Cardiology,647077.11,489353.26,157723.84999999998
2024-07-01,Orthopaedics,487575.88,442808.68,44767.20000000001
2024-07-01,Gastroenterology,534310.33,570274.79,-35964.46000000008
2024-07-01,Paediatrics,557861.16,549119.18,8741.979999999981
2024-07-01,Oncology,453077.7,479690.31,-26612.609999999986
2024-08-01,Cardiology,454129.75,488027.35,-33897.59999999998
2024-08-01,Orthopaedics,601807.28,512955.29,88851.99000000005
2024-08-01,Gastroenterology,630137.15,458360.73,171776.42000000004
2024-08-01,Paediatrics,435443.12,518409.64,-82966.52000000002
2024-08-01,Oncology,509508.67,504202.67,5306.0
2024-09-01,Cardiology,513857.61,443667.42,70190.19
2024-09-01,Orthopaedics,515658.88,553002.79,-37343.91000000003
2024-09-01,Gastroenterology,586088.62,443286.26,142802.36
2024-09-01,Paediatrics,518480.47,590783.33,-72302.85999999999
2024-09-01,Oncology,462568.74,431291.52,31277.219999999972
2024-10-01,Cardiology,563552.24,526421.94,37130.30000000005
2024-10-01,Orthopaedics,433041.91,375040.46,58001.44999999995
2024-10-01,Gastroenterology,516924.49,448605.22,68319.27000000002
2024-10-01,Paediatrics,365273.9,428459.81,-63185.909999999974
2024-10-01,Oncology,548208.79,468644.2,79564.59000000003
2024-11-01,Cardiology,625288.32,323457.19,301831.12999999995
2024-11-01,Orthopaedics,607039.39,454207.25,152832.14
2024-11-01,Gastroenterology,460926.29,363660.46,97265.82999999996
2024-11-01,Paediatrics,537206.55,342992.85,194213.70000000007
2024-11-01,Oncology,565432.29,366497.7,198934.59000000003
2024-12-01,Cardiology,391543.52,390658.9,884.6199999999953
2024-12-01,Orthopaedics,442724.0,550655.7,-107931.69999999995
2024-12-01,Gastroenterology,620316.52,434055.48,186261.04000000004
2024-12-01,Paediatrics,496274.95,516743.8,-20468.849999999977
2024-12-01,Oncology,473655.01,513806.82,-40151.81
2025-01-01,Cardiology,499673.64,460990.51,38683.130000000005
2025-01-01,Orthopaedics,386414.74,491178.24,-104763.5
2025-01-01,Gastroenterology,576670.06,421629.16,155040.90000000008
2025-01-01,Paediatrics,342538.35,456033.7,-113495.35000000003
2025-01-01,Oncology,620781.65,570896.25,49885.40000000002
2025-02-01,Cardiology,453563.02,514163.63,-60600.609999999986
2025-02-01,Orthopaedics,549083.67,591775.36,-42691.689999999944
2025-02-01,Gastroenterology,375953.42,399837.88,-23884.46000000002
2025-02-01,Paediatrics,339219.57,429119.31,-89899.73999999999
2025-02-01,Oncology,585304.45,438021.06,147283.38999999996
2025-03-01,Cardiology,395344.89,496997.73,-101652.83999999997
2025-03-01,Orthopaedics,520189.51,403721.29,116468.22000000003
2025-03-01,Gastroenterology,459516.33,491293.24,-31776.909999999974
2025-03-01,Paediatrics,559678.92,431334.57,128344.35000000003
2025-03-01,Oncology,436561.89,623441.6,-186879.70999999996
