Date,Staff Group,Budgeted WTE,Actual WTE,Agency Spend (£),Bank Spend (£),Substantive Spend (£)
2024-04-01,Nurses,65.7,114.3,11255.49,16127.25,300278.64
2024-04-01,Doctors,70.5,79.3,19310.2,19997.39,226622.57
2024-04-01,Admin,134.7,87.6,23187.41,13668.36,229030.69
2024-04-01,Allied Health,93.3,64.4,27327.89,8976.49,285666.02
2024-04-01,Estates,65.4,76.5,23308.31,9297.94,269061.44
2024-05-01,Nurses,82.7,79.0,18197.29,12263.2,236678.69
2024-05-01,Doctors,108.2,66.8,13876.39,5539.51,307588.59
2024-05-01,Admin,144.2,67.9,20989.64,23037.97,218690.22
2024-05-01,Allied Health,134.1,118.3,19053.27,9222.2,242065.57
2024-05-01,Estates,99.9,145.9,23131.98,18589.15,275502.58
2024-06-01,Nurses,75.2,91.5,20952.17,12013.45,254312.46
2024-06-01,Doctors,64.1,52.6,26727.65,16749.97,288887.67
2024-06-01,Admin,121.1,80.4,28382.99,15257.29,319661.6
2024-06-01,Allied Health,129.0,71.5,15712.84,15217.86,227712.78
2024-06-01,Estates,56.2,126.7,23095.52,16422.17,232411.7
2024-07-01,Nurses,75.3,130.8,20945.26,17067.98,223988.7
2024-07-01,Doctors,128.0,83.0,23068.73,7452.65,238773.26
2024-07-01,Admin,144.1,109.9,22448.48,15463.93,246022.07
2024-07-01,Allied Health,136.5,94.5,23474.7,16618.98,252664.99
2024-07-01,Estates,135.3,89.8,17255.91,18882.01,230542.83
2024-08-01,Nurses,83.6,50.3,20499.6,16993.87,262995.53
2024-08-01,Doctors,56.6,67.1,22127.41,10551.7,214855.48
2024-08-01,Admin,115.9,112.3,12592.39,14888.96,274421.52
2024-08-01,Allied Health,96.8,62.7,8981.11,12611.05,256274.31
2024-08-01,Estates,87.8,121.0,20251.36,13620.82,254090.96
2024-09-01,Nurses,102.5,104.4,20029.0,8676.26,222995.96
2024-09-01,Doctors,75.2,84.3,13158.19,14286.53,227809.37
2024-09-01,Admin,94.9,115.3,15546.03,13227.33,272243.69
2024-09-01,Allied Health,68.4,87.9,18710.3,23034.93,235556.74
2024-09-01,Estates,72.5,137.8,15441.17,25955.98,226393.09
2024-10-01,Nurses,109.4,114.0,18093.27,14985.94,219103.6
2024-10-01,Doctors,118.0,55.7,17307.79,9349.28,259344.54
2024-10-01,Admin,144.9,83.6,22736.53,14096.26,264645.93
2024-10-01,Allied Health,52.4,80.6,19564.12,17973.89,259483.77
2024-10-01,Estates,75.6,143.0,26479.08,16620.74,210356.13
2024-11-01,Nurses,141.1,143.3,17640.25,14085.66,249966.31
2024-11-01,Doctors,61.0,107.3,19660.01,13743.51,282542.33
2024-11-01,Admin,55.6,98.9,15024.61,22451.98,287698.41
2024-11-01,Allied Health,90.5,80.4,24354.62,16829.13,262777.95
2024-11-01,Estates,121.7,126.5,20954.26,13837.78,214022.25
2024-12-01,Nurses,98.5,75.6,10800.49,16003.99,240759.05
2024-12-01,Doctors,95.9,148.4,29719.56,8535.32,212130.37
2024-12-01,Admin,81.9,139.5,32676.88,14667.79,255067.67
2024-12-01,Allied Health,77.5,123.1,13415.52,17097.65,274353.8
2024-12-01,Estates,123.0,101.2,16946.48,21702.16,211871.62
2025-01-01,Nurses,57.0,91.3,23995.14,8354.89,242179.93
2025-01-01,Doctors,122.8,57.4,23624.07,11766.14,302748.03
2025-01-01,Admin,106.7,145.1,17307.33,14205.16,251201.72
2025-01-01,Allied Health,85.3,64.3,13301.22,12802.92,235999.99
2025-01-01,Estates,149.2,53.9,24226.11,13672.3,236557.55
2025-02-01,Nurses,131.1,137.9,17044.8,16576.91,244640.58
2025-02-01,Doctors,133.3,82.6,17036.68,13138.29,257833.76
2025-02-01,Admin,115.9,81.7,17085.03,16601.16,242452.96
2025-02-01,Allied Health,85.3,145.0,21944.17,7536.14,282730.45
2025-02-01,Estates,145.0,82.9,23458.59,13171.3,265514.06
2025-03-01,Nurses,102.4,148.1,16261.99,13310.02,251409.77
2025-03-01,Doctors,110.4,64.5,22064.11,16382.56,295065.12
2025-03-01,Admin,64.5,99.2,19525.13,21289.88,205055.7
2025-03-01,Allied Health,54.4,125.2,21142.82,12540.88,251869.5
2025-03-01,Estates,76.1,122.3,13459.7,19665.01,222171.69
